scene_key,label,collision_timestep,source_file,adv_idx
scene-0003_ego_0_ctrl_[2]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,2
scene-0004_ego_0_ctrl_[4]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,4
scene-0005_ego_0_ctrl_[6]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,6
scene-0052_ego_0_ctrl_[1]_0,1,46,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,1
scene-0060_ego_0_ctrl_[3]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,3
scene-0068_ego_0_ctrl_[3]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,3
scene-0072_ego_0_ctrl_[1]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,1
scene-0074_ego_0_ctrl_[7]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,7
scene-0075_ego_0_ctrl_[7]_0,1,20,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,7
scene-0103_ego_0_ctrl_[7]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,7
scene-0104_ego_0_ctrl_[21]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,21
scene-0109_ego_0_ctrl_[3]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,3
scene-0110_ego_0_ctrl_[9]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,9
scene-0126_ego_0_ctrl_[2]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,2
scene-0132_ego_0_ctrl_[2]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,2
scene-0133_ego_0_ctrl_[4]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,4
scene-0134_ego_0_ctrl_[5]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,5
scene-0150_ego_0_ctrl_[3]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,3
scene-0151_ego_0_ctrl_[3]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,3
scene-0168_ego_0_ctrl_[2]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,2
scene-0171_ego_0_ctrl_[1]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,1
scene-0172_ego_0_ctrl_[8]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,8
scene-0175_ego_0_ctrl_[2]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,2
scene-0182_ego_0_ctrl_[3]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,3
scene-0184_ego_0_ctrl_[1]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,1
scene-0187_ego_0_ctrl_[2]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,2
scene-0190_ego_0_ctrl_[1]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,1
scene-0195_ego_0_ctrl_[4]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,4
scene-0196_ego_0_ctrl_[3]_0,1,25,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,3
scene-0203_ego_0_ctrl_[1]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,1
scene-0204_ego_0_ctrl_[4]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,4
scene-0210_ego_0_ctrl_[1]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,1
scene-0214_ego_0_ctrl_[20]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,20
scene-0220_ego_0_ctrl_[9]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,9
scene-0222_ego_0_ctrl_[8]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,8
scene-0233_ego_0_ctrl_[3]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,3
scene-0237_ego_0_ctrl_[14]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,14
scene-0238_ego_0_ctrl_[12]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,12
scene-0241_ego_0_ctrl_[2]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,2
scene-0247_ego_0_ctrl_[14]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,14
scene-0249_ego_0_ctrl_[6]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,6
scene-0250_ego_0_ctrl_[14]_0,0,-1,/mnt/h/trajectory_apr11/Apr11_relaxed_all_archives/extracted_Apr11_relaxed_all_ego0/Apr11_relaxed_all/ego0/case1_StrivePolicy_trajdata/data.hdf5,14
